0.170918 0.000000  -15.676638  -7.427161  -6.552599  -5.478336  -5.263968  -3.957459  -3.947609  -1.858266  -1.716742  -1.585476  -1.073256  -0.944113  -0.780112  5.590375  6.462912
0.177022 0.000000  -15.681727  -7.445447  -6.510341  -5.463642  -5.238716  -3.934439  -3.923445  -1.859954  -1.731436  -1.612361  -1.076794  -0.942018  -0.771813  5.542894  6.470694
0.183126 0.000000  -15.686815  -7.464086  -6.466749  -5.448404  -5.213165  -3.910602  -3.898302  -1.861695  -1.751871  -1.636170  -1.078807  -0.940222  -0.762996  5.494355  6.478477
0.189231 0.000000  -15.691931  -7.482998  -6.421823  -5.432676  -5.187342  -3.886003  -3.872180  -1.863437  -1.777912  -1.657014  -1.079243  -0.938698  -0.753690  5.444791  6.486177
0.195335 0.000000  -15.697019  -7.502154  -6.375646  -5.416431  -5.161301  -3.860642  -3.845132  -1.865232  -1.808579  -1.675735  -1.078100  -0.937392  -0.743894  5.394224  6.493796
0.201439 0.000000  -15.702081  -7.521556  -6.328190  -5.399669  -5.135097  -3.834574  -3.817078  -1.867028  -1.842729  -1.693477  -1.075488  -0.936276  -0.733663  5.342687  6.501279
0.207543 0.000000  -15.707087  -7.541121  -6.279510  -5.382418  -5.108729  -3.807799  -3.788098  -1.879301  -1.868906  -1.711082  -1.071460  -0.935351  -0.723023  5.290205  6.508599
0.213647 0.000000  -15.712013  -7.560876  -6.229632  -5.364649  -5.082226  -3.780343  -3.758138  -1.917614  -1.870783  -1.729041  -1.066154  -0.934589  -0.712030  5.236803  6.515728
0.219752 0.000000  -15.716829  -7.580767  -6.178584  -5.346417  -5.055641  -3.752234  -3.727254  -1.957260  -1.872715  -1.747654  -1.059678  -0.933936  -0.700683  5.182504  6.522640
0.225856 0.000000  -15.721536  -7.600767  -6.126421  -5.327723  -5.028974  -3.723526  -3.695417  -1.997886  -1.874702  -1.767001  -1.052168  -0.933365  -0.689010  5.127333  6.529280
0.231960 0.000000  -15.726108  -7.620822  -6.073169  -5.308540  -5.002253  -3.694220  -3.662655  -2.039301  -1.876715  -1.787082  -1.043760  -0.932902  -0.677091  5.071314  6.535620
0.238064 0.000000  -15.730489  -7.640931  -6.018883  -5.288893  -4.975504  -3.664397  -3.628995  -2.081397  -1.878784  -1.807872  -1.034562  -0.932494  -0.664874  5.014470  6.541633
0.244168 0.000000  -15.734707  -7.661067  -5.963590  -5.268812  -4.948729  -3.634056  -3.594437  -2.124009  -1.880879  -1.829287  -1.024739  -0.932140  -0.652465  4.956818  6.547293
0.250273 0.000000  -15.738734  -7.681176  -5.907345  -5.248294  -4.921953  -3.603253  -3.559008  -2.167057  -1.883028  -1.851219  -1.014372  -0.931813  -0.639812  4.898383  6.552572
0.256377 0.000000  -15.742516  -7.701285  -5.850202  -5.227342  -4.895123  -3.572070  -3.522736  -2.210458  -1.885260  -1.873586  -1.003596  -0.931487  -0.626996  4.839185  6.557443
0.262481 0.000000  -15.746026  -7.721312  -5.792215  -5.205981  -4.868293  -3.540532  -3.485620  -2.254159  -1.896226  -1.887518  -0.992494  -0.931188  -0.613989  4.779242  6.561851
0.268585 0.000000  -15.749292  -7.741258  -5.733467  -5.184240  -4.841408  -3.508695  -3.447743  -2.298105  -1.919083  -1.889831  -0.981120  -0.930834  -0.600846  4.718578  6.565797
0.274689 0.000000  -15.752258  -7.761067  -5.673983  -5.162090  -4.814470  -3.476641  -3.409076  -2.342187  -1.942022  -1.892199  -0.969610  -0.930480  -0.587567  4.657212  6.569253
0.280794 0.000000  -15.754897  -7.780768  -5.613902  -5.139614  -4.787449  -3.444477  -3.369701  -2.386378  -1.964934  -1.894620  -0.957990  -0.930099  -0.574179  4.595162  6.572191
0.286898 0.000000  -15.757210  -7.800305  -5.553275  -5.116757  -4.760265  -3.412232  -3.329647  -2.430595  -1.987682  -1.897124  -0.946344  -0.929637  -0.560683  4.532447  6.574586
0.293002 0.000000  -15.759169  -7.819680  -5.492187  -5.093573  -4.732918  -3.380042  -3.288912  -2.474813  -2.010158  -1.899654  -0.934725  -0.929147  -0.547104  4.469088  6.576409
0.299106 0.000000  -15.760748  -7.838836  -5.430799  -5.070090  -4.705272  -3.348014  -3.247578  -2.518922  -2.032281  -1.902267  -0.928575  -0.923160  -0.533472  4.405102  6.577688
0.305210 0.000000  -15.761945  -7.857775  -5.369220  -5.046280  -4.677299  -3.316286  -3.205701  -2.562868  -2.053859  -1.904933  -0.927922  -0.911705  -0.519757  4.340511  6.578341
0.311315 0.000000  -15.762734  -7.876469  -5.307587  -5.022226  -4.648863  -3.285048  -3.163279  -2.606569  -2.074812  -1.907627  -0.927215  -0.900412  -0.506016  4.275335  6.578423
0.317419 0.000000  -15.763115  -7.894918  -5.246118  -4.997899  -4.619802  -3.254463  -3.120394  -2.649889  -2.094948  -1.910403  -0.926399  -0.889310  -0.492247  4.209591  6.577851
0.323523 0.000000  -15.763060  -7.913068  -5.185029  -4.973327  -4.589979  -3.224776  -3.077102  -2.692692  -2.114159  -1.913205  -0.925501  -0.878398  -0.478451  4.143299  6.576708
0.329627 0.000000  -15.762598  -7.930945  -5.124539  -4.948565  -4.559149  -3.196367  -3.033428  -2.734787  -2.132227  -1.916035  -0.924494  -0.867732  -0.464655  4.076483  6.574912
0.335732 0.000000  -15.761700  -7.948524  -5.064974  -4.923586  -4.527067  -3.169646  -2.989455  -2.775849  -2.148962  -1.918920  -0.923378  -0.857337  -0.450859  4.009160  6.572491
0.341836 0.000000  -15.760367  -7.965775  -5.006661  -4.898470  -4.493461  -3.145292  -2.945210  -2.815359  -2.164200  -1.921831  -0.922154  -0.847187  -0.437090  3.941350  6.569443
0.347940 0.000000  -15.758598  -7.982701  -4.949980  -4.873164  -4.457951  -3.124367  -2.900801  -2.852529  -2.177696  -1.924743  -0.920820  -0.837364  -0.423349  3.873080  6.565770
0.354044 0.000000  -15.756421  -7.999272  -4.895341  -4.847776  -4.420209  -3.108557  -2.885781  -2.856257  -2.189179  -1.927654  -0.919351  -0.827840  -0.409634  3.804368  6.561497
0.360148 0.000000  -15.753809  -8.015463  -4.843150  -4.822279  -4.379855  -3.100530  -2.912693  -2.811658  -2.198458  -1.930539  -0.917745  -0.818643  -0.395974  3.735240  6.556599
0.366253 0.000000  -15.750761  -8.031327  -4.796701  -4.793735  -4.336617  -3.103551  -2.930244  -2.767087  -2.205261  -1.933369  -0.916031  -0.809772  -0.382369  3.665717  6.551130
0.372357 0.000000  -15.747332  -8.046783  -4.771095  -4.747394  -4.290250  -3.118816  -2.937427  -2.722597  -2.209370  -1.936144  -0.914181  -0.801255  -0.368845  3.595827  6.545062
0.378461 0.000000  -15.743523  -8.061885  -4.745462  -4.704265  -4.240644  -3.143823  -2.936938  -2.678297  -2.210540  -1.938838  -0.912167  -0.793065  -0.355376  3.525594  6.538450
0.384565 0.000000  -15.739360  -8.076579  -4.719830  -4.664346  -4.187855  -3.174789  -2.932693  -2.634243  -2.208635  -1.941342  -0.910045  -0.785228  -0.342015  3.455047  6.531293
0.390669 0.000000  -15.734815  -8.090864  -4.694279  -4.627503  -4.132045  -3.208993  -2.927495  -2.590596  -2.203547  -1.943682  -0.907759  -0.777772  -0.328736  3.384214  6.523592
0.396774 0.000000  -15.729972  -8.104769  -4.668755  -4.593543  -4.073541  -3.244803  -2.923006  -2.547439  -2.195275  -1.945723  -0.905337  -0.770670  -0.315566  3.313126  6.515429
0.402878 0.000000  -15.724802  -8.118239  -4.643340  -4.562142  -4.012643  -3.281375  -2.919958  -2.504909  -2.183873  -1.947437  -0.902752  -0.763922  -0.302477  3.241815  6.506803
0.408982 0.000000  -15.719360  -8.131327  -4.618088  -4.533053  -3.949677  -3.318191  -2.918734  -2.463140  -2.169506  -1.948689  -0.900004  -0.757554  -0.289552  3.170313  6.497742
0.415086 0.000000  -15.713672  -8.143980  -4.592972  -4.505951  -3.885051  -3.354899  -2.919441  -2.422378  -2.152363  -1.949342  -0.897092  -0.751541  -0.276736  3.098661  6.488273
0.421190 0.000000  -15.707768  -8.156225  -4.568047  -4.480618  -3.819009  -3.391361  -2.921972  -2.382813  -2.132717  -1.949233  -0.894045  -0.745908  -0.264056  3.026895  6.478449
0.427295 0.000000  -15.701645  -8.168035  -4.543339  -4.456808  -3.751907  -3.427416  -2.926217  -2.344745  -2.110866  -1.948090  -0.890807  -0.740656  -0.251538  2.955055  6.468300
0.433399 0.000000  -15.695359  -8.179436  -4.518904  -4.434359  -3.683934  -3.462926  -2.931958  -2.308527  -2.087111  -1.945668  -0.887405  -0.735731  -0.239157  2.883188  6.457851
0.439503 0.000000  -15.688910  -8.190402  -4.494740  -4.413134  -3.615362  -3.497865  -2.939006  -2.274540  -2.061723  -1.941559  -0.883813  -0.731187  -0.226967  2.811340  6.447157
0.445607 0.000000  -15.682380  -8.200960  -4.470931  -4.392944  -3.546410  -3.532124  -2.947115  -2.243302  -2.035002  -1.935328  -0.880058  -0.727024  -0.214912  2.739563  6.436272
0.451712 0.000000  -15.675740  -8.211110  -4.447448  -4.373760  -3.565648  -3.477212  -2.956094  -2.215356  -2.007192  -1.926484  -0.876113  -0.723187  -0.203076  2.667913  6.425197
0.457816 0.000000  -15.669074  -8.220851  -4.424373  -4.355447  -3.598410  -3.407987  -2.965781  -2.191111  -1.978566  -1.914675  -0.871949  -0.719731  -0.191402  2.596455  6.414041
0.463920 0.000000  -15.662353  -8.230158  -4.401733  -4.337950  -3.630356  -3.338844  -2.975958  -2.170866  -1.949342  -1.899573  -0.867623  -0.716602  -0.179946  2.525243  6.402776
0.470024 0.000000  -15.655631  -8.239056  -4.379556  -4.321243  -3.661431  -3.270000  -2.986543  -2.154676  -1.919709  -1.881260  -0.863079  -0.713826  -0.168708  2.454361  6.391510
0.476128 0.000000  -15.648938  -8.247573  -4.357869  -4.305270  -3.691608  -3.201592  -2.997346  -2.142240  -1.889831  -1.860035  -0.858317  -0.711404  -0.157688  2.383877  6.380245
0.482233 0.000000  -15.642325  -8.255681  -4.336699  -4.289977  -3.720859  -3.133755  -3.008312  -2.133070  -1.859899  -1.836443  -0.853364  -0.709309  -0.146912  2.313879  6.369061
0.488337 0.000000  -15.635740  -8.263382  -4.316127  -4.275365  -3.749132  -3.066653  -3.019278  -2.126540  -1.830076  -1.811110  -0.848167  -0.707513  -0.136382  2.244461  6.357986
0.494441 0.000000  -15.629291  -8.270702  -4.296127  -4.261406  -3.776397  -3.030217  -3.000448  -2.122077  -1.800470  -1.784633  -0.842752  -0.706044  -0.126096  2.175721  6.347075
0.500545 0.000000  -15.622951  -8.277641  -4.276807  -4.248100  -3.802628  -3.040993  -2.935305  -2.119220  -1.771191  -1.757559  -0.837092  -0.704874  -0.116109  2.107772  6.336326
0.506649 0.000000  -15.616774  -8.284171  -4.258168  -4.235392  -3.827799  -3.051605  -2.871414  -2.117506  -1.742402  -1.730320  -0.831214  -0.704003  -0.106395  2.040735  6.325850
0.512754 0.000000  -15.610733  -8.290376  -4.240236  -4.223311  -3.851853  -3.061972  -2.808910  -2.116662  -1.714211  -1.703273  -0.825119  -0.703432  -0.096980  1.974743  6.315646
0.518858 0.000000  -15.604910  -8.296171  -4.223066  -4.211827  -3.874765  -3.072013  -2.748039  -2.116417  -1.686701  -1.676633  -0.818779  -0.703105  -0.087892  1.909940  6.305796
0.524962 0.000000  -15.599277  -8.301641  -4.206739  -4.200943  -3.896479  -3.081700  -2.688964  -2.116553  -1.659980  -1.650674  -0.812194  -0.703023  -0.079157  1.846490  6.296272
0.531066 0.000000  -15.593890  -8.306729  -4.191229  -4.190685  -3.916969  -3.091034  -2.631930  -2.116907  -1.634157  -1.625531  -0.805418  -0.703187  -0.070776  1.784565  6.287156
0.537170 0.000000  -15.588720  -8.311464  -4.180997  -4.176671  -3.936207  -3.099932  -2.577181  -2.117288  -1.609286  -1.601367  -0.798425  -0.703540  -0.062749  1.724358  6.278503
0.543275 0.000000  -15.583822  -8.315872  -4.171936  -4.163093  -3.954085  -3.108367  -2.524963  -2.117614  -1.585503  -1.578292  -0.791269  -0.704112  -0.055129  1.666083  6.270274
0.549379 0.000000  -15.579196  -8.319954  -4.163474  -4.150576  -3.970575  -3.116340  -2.475575  -2.117696  -1.562891  -1.556360  -0.783976  -0.704847  -0.047919  1.609961  6.262549
0.555483 0.000000  -15.574869  -8.323709  -4.155637  -4.139201  -3.985568  -3.123823  -2.429344  -2.117397  -1.541503  -1.535734  -0.776602  -0.705690  -0.041143  1.556243  6.255338
0.561587 0.000000  -15.570842  -8.327110  -4.148399  -4.129133  -3.998929  -3.130762  -2.386595  -2.116499  -1.521449  -1.516415  -0.769173  -0.706670  -0.034830  1.505193  6.248658
0.567692 0.000000  -15.567114  -8.330212  -4.141759  -4.120535  -4.010521  -3.137156  -2.347711  -2.114785  -1.502809  -1.498510  -0.761799  -0.707731  -0.028980  1.457089  6.242530
0.573796 0.000000  -15.563713  -8.333015  -4.135746  -4.113596  -4.020153  -3.143007  -2.313180  -2.112036  -1.485666  -1.482074  -0.754534  -0.708819  -0.023619  1.412232  6.236965
0.579900 0.000000  -15.560638  -8.335491  -4.130358  -4.108535  -4.027582  -3.148258  -2.283357  -2.107955  -1.470074  -1.467190  -0.747541  -0.709908  -0.018776  1.370928  6.231975
0.586004 0.000000  -15.557917  -8.337668  -4.125596  -4.105514  -4.032697  -3.152939  -2.258622  -2.102376  -1.456142  -1.453884  -0.740874  -0.710996  -0.014422  1.333497  6.227569
0.592108 0.000000  -15.555522  -8.339546  -4.121460  -4.104344  -4.035636  -3.157020  -2.239057  -2.095356  -1.443897  -1.442210  -0.734697  -0.712030  -0.010640  1.300248  6.223746
0.598213 0.000000  -15.553509  -8.341124  -4.117950  -4.104698  -4.036806  -3.160476  -2.224363  -2.087329  -1.433421  -1.432224  -0.729173  -0.712955  -0.007429  1.271488  6.220514
0.604317 0.000000  -15.551849  -8.342430  -4.115092  -4.105895  -4.036806  -3.163333  -2.213860  -2.079084  -1.424768  -1.424006  -0.724384  -0.713772  -0.004762  1.247505  6.217871
0.610421 0.000000  -15.550543  -8.343410  -4.112861  -4.107392  -4.036262  -3.165537  -2.206731  -2.071519  -1.417965  -1.417557  -0.720520  -0.714425  -0.002667  1.228558  6.215817
0.616525 0.000000  -15.549617  -8.344144  -4.111256  -4.108752  -4.035582  -3.167143  -2.202213  -2.065533  -1.413094  -1.412904  -0.717663  -0.714915  -0.001197  1.214857  6.214353
0.622629 0.000000  -15.549046  -8.344553  -4.110303  -4.109650  -4.035065  -3.168095  -2.199710  -2.061669  -1.410183  -1.410128  -0.715894  -0.715214  -0.000299  1.206571  6.213474
0.628734 0.000000  -15.548883  -8.344716  -4.109977  -4.109977  -4.034874  -3.168422  -2.198921  -2.060335  -1.409176  -1.409176  -0.715323  -0.715323  0.000000  1.203798  6.213180
0.628734 0.000000  -15.548964  -8.344172  -4.111745  -4.109623  -4.034602  -3.167905  -2.197996  -2.060961  -1.409149  -1.408986  -0.717554  -0.715296  -0.000381  1.206397  6.212484
0.634889 0.000000  -15.549236  -8.342566  -4.116997  -4.108589  -4.033704  -3.166435  -2.195193  -2.062839  -1.409013  -1.408387  -0.724221  -0.715187  -0.001524  1.214155  6.210397
0.641045 0.000000  -15.549672  -8.339900  -4.125732  -4.106875  -4.032262  -3.163959  -2.190594  -2.065968  -1.408822  -1.407407  -0.735187  -0.715023  -0.003456  1.226968  6.206935
0.647201 0.000000  -15.550298  -8.336172  -4.137868  -4.104480  -4.030194  -3.160476  -2.184254  -2.070295  -1.408523  -1.406074  -0.750316  -0.714806  -0.006122  1.244658  6.202119
0.653357 0.000000  -15.551141  -8.331382  -4.153269  -4.101378  -4.027582  -3.156013  -2.176254  -2.075846  -1.408169  -1.404360  -0.769337  -0.714534  -0.009578  1.266999  6.195975
0.659512 0.000000  -15.552175  -8.325532  -4.171882  -4.097596  -4.024371  -3.150598  -2.166730  -2.082539  -1.407707  -1.402319  -0.792003  -0.714180  -0.013796  1.293728  6.188533
0.665668 0.000000  -15.553454  -8.318621  -4.193542  -4.093133  -4.020589  -3.144177  -2.155819  -2.090403  -1.407190  -1.399979  -0.818044  -0.713799  -0.018776  1.324553  6.179830
0.671824 0.000000  -15.554924  -8.310620  -4.218086  -4.087990  -4.016208  -3.136802  -2.143628  -2.099329  -1.406564  -1.397394  -0.847078  -0.713336  -0.024517  1.359168  6.169901
0.677980 0.000000  -15.556692  -8.301559  -4.245406  -4.082167  -4.011255  -3.128476  -2.130349  -2.109370  -1.405884  -1.394537  -0.878861  -0.712792  -0.030966  1.397271  6.158783
0.684135 0.000000  -15.558706  -8.291437  -4.275338  -4.075636  -4.005731  -3.119197  -2.120390  -2.116118  -1.405094  -1.391462  -0.913092  -0.712221  -0.038177  1.438564  6.146511
