0.000000 0.000000  -0.065442  -0.039728  -0.014721  0.000000  3.534959  4.631993  4.657888  4.756938  4.828773  4.879717
0.038675 0.000000  -0.066640  -0.039973  -0.023238  -0.011347  3.538445  4.656569  4.681035  4.792365  4.849878  4.901172
0.077350 0.000000  -0.092735  -0.070885  -0.045524  -0.023891  3.548282  4.725403  4.749540  4.893445  4.908143  4.964394
0.116025 0.000000  -0.135701  -0.107592  -0.079429  -0.053143  3.562676  4.830105  4.857905  4.994810  5.046884  5.061975
0.154700 0.000000  -0.137797  -0.130667  -0.122069  -0.102858  3.579028  4.964721  4.996013  5.103891  5.182177  5.229092
0.193375 0.000000  -0.179293  -0.149606  -0.117116  -0.101932  3.594655  5.093325  5.104190  5.123113  5.157037  5.229176
0.232050 0.000000  -0.225715  -0.182477  -0.100817  -0.083810  3.607384  4.937442  4.952863  5.295432  5.324991  5.361356
0.270725 0.000000  -0.225307  -0.209606  -0.092953  -0.077089  3.615697  4.834540  4.851690  5.462853  5.475716  5.482810
0.309400 0.000000  -0.223974  -0.203212  -0.091238  -0.076599  3.618595  4.798463  4.816250  5.462589  5.527319  5.530810
0.309400 0.000000  -0.225307  -0.209606  -0.092953  -0.077089  3.615697  4.834540  4.851690  5.462853  5.475716  5.482810
0.348075 0.000000  -0.225715  -0.182477  -0.100817  -0.083810  3.607384  4.937442  4.952863  5.295432  5.324991  5.361356
0.386750 0.000000  -0.179293  -0.149606  -0.117116  -0.101932  3.594655  5.093325  5.104190  5.123113  5.157037  5.229176
0.425425 0.000000  -0.137797  -0.130667  -0.122069  -0.102858  3.579028  4.964721  4.996013  5.103891  5.182177  5.229092
0.464100 0.000000  -0.135701  -0.107592  -0.079429  -0.053143  3.562676  4.830105  4.857905  4.994810  5.046884  5.061975
0.502775 0.000000  -0.092735  -0.070885  -0.045524  -0.023891  3.548282  4.725403  4.749540  4.893445  4.908143  4.964394
0.541450 0.000000  -0.066640  -0.039973  -0.023238  -0.011347  3.538445  4.656569  4.681035  4.792365  4.849878  4.901172
0.580125 0.000000  -0.065442  -0.039728  -0.014721  0.000000  3.534959  4.631993  4.657888  4.756938  4.828773  4.879717
0.580125 0.000000  -0.068681  -0.053089  -0.024109  -0.011565  3.538720  4.665325  4.681236  4.797410  4.840212  4.911876
0.619998 0.000000  -0.086368  -0.078749  -0.043048  -0.017524  3.548924  4.707250  4.796771  4.865185  4.913363  5.011359
0.659871 0.000000  -0.119538  -0.098966  -0.076218  -0.026803  3.562598  4.759802  4.895958  4.981705  5.087162  5.169472
0.699744 0.000000  -0.148164  -0.128001  -0.114640  -0.040299  3.575795  4.823179  4.938545  5.205481  5.296235  5.356145
0.739617 0.000000  -0.147565  -0.139783  -0.122450  -0.056626  3.585180  4.896211  4.989840  5.273954  5.361963  5.376026
0.779489 0.000000  -0.142259  -0.120463  -0.110803  -0.072762  3.589422  4.976807  5.048933  5.176199  5.266012  5.288948
0.819362 0.000000  -0.139375  -0.107620  -0.101660  -0.084953  3.589574  5.060514  5.109369  5.128577  5.206071  5.246077
0.859235 0.000000  -0.128953  -0.112300  -0.100164  -0.093470  3.588102  5.126152  5.137459  5.174370  5.203873  5.252920
0.899108 0.000000  -0.133552  -0.127565  -0.104381  -0.091919  3.587311  5.156057  5.194841  5.205756  5.221802  5.252406
0.899108 0.000000  -0.136681  -0.105769  -0.096082  -0.079973  3.587376  5.048835  5.115932  5.144642  5.217677  5.252422
0.942518 0.000000  -0.122967  -0.105116  -0.084653  -0.064272  3.587702  4.969938  5.060860  5.095690  5.182213  5.240923
0.985928 0.000000  -0.115973  -0.102177  -0.078014  -0.073442  3.588407  4.969564  5.074569  5.102340  5.191415  5.234673
1.029338 0.000000  -0.124409  -0.098259  -0.088164  -0.080164  3.589188  5.045407  5.140969  5.173309  5.230803  5.252031
1.072748 0.000000  -0.115347  -0.110068  -0.093824  -0.088245  3.589531  5.138531  5.190961  5.224752  5.259633  5.268167
1.072748 0.000000  -0.065442  -0.039728  -0.014721  0.000000  3.534959  4.631993  4.657888  4.756938  4.828773  4.879717
1.084648 0.000000  -0.066694  -0.039429  -0.015374  -0.001497  3.535294  4.634362  4.660083  4.760332  4.830815  4.881749
1.096548 0.000000  -0.066259  -0.038776  -0.017524  -0.005524  3.536293  4.641415  4.666663  4.770463  4.836885  4.887845
1.108448 0.000000  -0.066096  -0.039320  -0.021796  -0.010286  3.537936  4.652994  4.677616  4.787183  4.846819  4.898002
1.120348 0.000000  -0.069524  -0.043891  -0.027973  -0.014014  3.540200  4.668859  4.692910  4.810250  4.860370  4.912185
1.132248 0.000000  -0.076245  -0.053415  -0.034449  -0.017225  3.543041  4.688723  4.712476  4.839348  4.877242  4.930298
1.144148 0.000000  -0.086422  -0.065089  -0.041524  -0.021279  3.546415  4.712301  4.736189  4.874091  4.897140  4.952152
1.156048 0.000000  -0.099619  -0.076545  -0.049851  -0.026966  3.550260  4.739345  4.763846  4.914032  4.919821  4.977457
1.167948 0.000000  -0.113987  -0.087674  -0.059483  -0.034640  3.554505  4.769660  4.795178  4.945004  4.958774  5.005861
1.179848 0.000000  -0.127402  -0.098966  -0.070422  -0.044408  3.559079  4.803085  4.829872  4.972621  5.007715  5.037007
1.191748 0.000000  -0.137960  -0.110504  -0.082558  -0.056300  3.563901  4.839470  4.867606  5.002475  5.060354  5.070582
1.203648 0.000000  -0.143511  -0.121878  -0.095565  -0.070204  3.568886  4.878659  4.908070  5.034419  5.106210  5.116152
1.215548 0.000000  -0.140490  -0.131946  -0.109062  -0.085932  3.573955  4.920474  4.950969  5.068288  5.143695  5.173962
1.227448 0.000000  -0.137797  -0.130667  -0.122069  -0.102858  3.579028  4.964721  4.996013  5.103891  5.182177  5.229092
1.239348 0.000000  -0.139293  -0.133878  -0.121062  -0.118014  3.584029  5.011184  5.042884  5.140982  5.213059  5.219241
1.251248 0.000000  -0.152572  -0.140654  -0.122504  -0.111973  3.588883  5.059619  5.090960  5.163159  5.173758  5.181557
1.263148 0.000000  -0.173769  -0.147647  -0.118477  -0.103810  3.593531  5.106947  5.108944  5.117097  5.146166  5.219195
1.275048 0.000000  -0.194450  -0.155973  -0.112898  -0.096681  3.597915  5.053592  5.066686  5.161693  5.194414  5.259388
